spot_id,spot_name,lat,lon,count,spot_types,is_parking
150,石窯パン工房 キャパトル 登美ヶ丘店,34.7178055,135.7583875,22,"[""bakery"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
151,Hair Make SNIPE,34.727621,135.750873,21,"[""hair_care"", ""point_of_interest"", ""establishment""]",False
152,登美ヶ丘駅前駐車場,34.7265655,135.7504265,21,"[""parking"", ""point_of_interest"", ""establishment""]",False
153,スポーツクラブ＆スパ ルネサンス 登美ヶ丘,34.725713,135.75230549999998,21,"[""gym"", ""health"", ""point_of_interest"", ""establishment""]",False
154,朝日自動車工業（株） リース事業部,34.744989000000004,135.629608,21,"[""car_rental"", ""point_of_interest"", ""establishment""]",False
155,ペットアミ生駒店,34.727706,135.720577,21,"[""pet_store"", ""store"", ""point_of_interest"", ""establishment""]",False
156,トマツナ弦楽器研究所,34.684845,135.693601,21,"[""point_of_interest"", ""establishment""]",False
157,ワンカルビ 押熊店,34.720278,135.769941,21,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
158,かつ満 生駒西白庭台店,34.730873,135.70828,21,"[""cafe"", ""furniture_store"", ""home_goods_store"", ""meal_takeaway"", ""store"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
159,北大和体育施設 体育館,34.721518,135.735165,20,"[""point_of_interest"", ""establishment""]",False
160,マクドナルド 白庭台店,34.726481,135.716518,20,"[""cafe"", ""store"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
161,相楽台西（バス）,34.72769,135.789033,20,"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]",False
162,ユニクロ 押熊店,34.717318,135.761751,20,"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]",False
163,高の原駅,34.7231475,135.7905085,20,"[""transit_station"", ""point_of_interest"", ""establishment""]",False
164,自分薬局 中登美ヶ丘,34.7218745,135.749728,20,"[""pharmacy"", ""health"", ""store"", ""point_of_interest"", ""establishment""]",False
165,ハートフルビレッジ西大寺Ⅱ,34.696381,135.769309,19,"[""point_of_interest"", ""establishment""]",False
166,ひかり装飾（株）,34.683715,135.774806,19,"[""point_of_interest"", ""establishment""]",False
167,ジャパン 奈良尼ヶ辻店,34.6813405,135.788413,19,"[""drugstore"", ""health"", ""store"", ""point_of_interest"", ""establishment""]",False
168,高天 グリーンハイツ,34.68511,135.82473,19,"[""point_of_interest"", ""establishment""]",False
169,学研奈良登美ヶ丘駅,34.73203,135.73738,18,"[""point_of_interest"", ""establishment""]",True
170,イオンモール高の原,34.724913,135.790533,18,"[""shopping_mall"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
171,ルーチェサンタルチア 生駒学園前店,34.710333,135.728311,18,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
172,金子モータープール,34.6845895,135.8270565,18,"[""parking"", ""point_of_interest"", ""establishment""]",False
173,ハートフルビレッジ木津プレミアム,34.740905,135.7955705,18,"[""point_of_interest"", ""establishment""]",False
174,奈良交通 生駒案内所,34.693489,135.6971195,18,"[""travel_agency"", ""point_of_interest"", ""establishment""]",False
175,学研奈良登美ヶ丘駅,34.725611,135.751566,17,"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]",True
176,マルエスペットヒルステップ生駒店,34.7094855,135.70626049999998,17,"[""pet_store"", ""store"", ""point_of_interest"", ""establishment""]",False
177,タイムズのB コメリパワー生駒店駐車場,34.727087,135.72117300000002,17,"[""parking"", ""point_of_interest"", ""establishment""]",False
178,ローレルスクエア登美ヶ丘3番館,34.718476,135.7432215,17,"[""point_of_interest"", ""establishment""]",False
179,ゆうちょ銀行 大阪支店 ファミリーマート精華光台店内出張所,34.74381,135.758363,17,"[""atm"", ""finance"", ""point_of_interest"", ""establishment""]",False
180,花の木,34.723065,135.768785,17,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
181,アートスタジオ,34.714903,135.7440845,16,"[""point_of_interest"", ""establishment""]",False
182,びっくりドンキー 奈良学園前店,34.68499,135.754021,16,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
183,岩佐クリニック,34.707376,135.760213,16,"[""health"", ""point_of_interest"", ""establishment""]",False
184,天ぷら 吉四六,34.713915,135.74528,16,"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
185,コーナン精華台店,34.7453,135.772346,16,"[""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]",False
186,コスモ石油 セルフ登美ヶ丘 SS (コスモ石油販売大阪カンパニー),34.72783,135.75305,16,"[""gas_station"", ""point_of_interest"", ""establishment""]",False
187,夢咲家,34.73024,135.73288,16,"[""point_of_interest"", ""establishment""]",False
188,アサヒペットクリニック,34.726535,135.720248,15,"[""veterinary_care"", ""point_of_interest"", ""establishment""]",False
189,奈良先端科学技術大学院大学（バス）,34.73251,135.73188,15,"[""bus_station"", ""transit_station"", ""point_of_interest"", ""establishment""]",False
190,セブン-イレブン 奈良押熊町店,34.7208005,135.768989,15,"[""convenience_store"", ""atm"", ""finance"", ""store"", ""food"", ""point_of_interest"", ""establishment""]",False
191,Shanti Yoga,34.7137355,135.772772,15,"[""gym"", ""health"", ""point_of_interest"", ""establishment""]",False
192,イオンモール高の原,34.7253,135.790976,15,"[""shopping_mall"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
193,なか卯 生駒俵口店,34.70191,135.696613,14,"[""meal_takeaway"", ""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
194,生駒郵便局集荷,34.6967845,135.700411,14,"[""post_office"", ""finance"", ""point_of_interest"", ""establishment""]",False
195,baraque バラック,34.735928,135.697883,14,"[""point_of_interest"", ""establishment""]",False
196,学際融合領域研究棟1号館,34.7309935,135.73457150000002,14,"[""university"", ""point_of_interest"", ""establishment""]",True
197,駐輪場,34.682318,135.804768,14,"[""point_of_interest"", ""establishment""]",False
198,精華町 産業振興課,34.760487,135.78554300000002,14,"[""local_government_office"", ""point_of_interest"", ""establishment""]",False
199,frau,34.697621,135.7499745,14,"[""hair_care"", ""point_of_interest"", ""establishment""]",False
200,L.Park,34.72721,135.719765,14,"[""point_of_interest"", ""establishment""]",False
201,EV充電スタンド,34.723185,135.705023,14,"[""point_of_interest"", ""establishment""]",False
202,北生駒整骨院,34.722015,135.72848,14,"[""point_of_interest"", ""health"", ""establishment""]",False
203,ヤマト運輸 学研営業所（あすか野）,34.7240265,135.705381,13,"[""moving_company"", ""storage"", ""point_of_interest"", ""establishment""]",False
204,野村工具製作所,34.696595,135.786801,13,"[""point_of_interest"", ""establishment""]",False
205,イオンモール高の原,34.725966,135.79124,13,"[""shopping_mall"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",False
206,たけまるホール（旧中央公民館）,34.693773,135.696418,13,"[""point_of_interest"", ""establishment""]",False
207,春日橋,34.7057455,135.73240049999998,13,"[""point_of_interest"", ""establishment""]",False
208,EV充電スタンド,34.717855,135.7727255,13,"[""point_of_interest"", ""establishment""]",False
209,株式会社エイチツーオー生駒支店,34.73176,135.72139,13,"[""general_contractor"", ""point_of_interest"", ""establishment""]",False
210,奈良県警 生駒警察署,34.699485,135.697789,13,"[""police"", ""point_of_interest"", ""establishment""]",False
211,生命科学研究基盤センター,34.730945500000004,135.732778,13,"[""university"", ""point_of_interest"", ""establishment""]",False
212,イオンモール四條畷,34.745986,135.63049,13,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",False
213,Honda Cars 奈良中央 高の原店,34.724343000000005,135.7891105,13,"[""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]",False
214,ヤスイ薬局白庭台,34.720803,135.716911,12,"[""pharmacy"", ""store"", ""point_of_interest"", ""health"", ""establishment""]",False
215,生駒郵便局集荷,34.697378,135.700256,12,"[""post_office"", ""finance"", ""point_of_interest"", ""establishment""]",False
216,ルイジアナママ 奈良学園前店,34.722723,135.721426,12,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
217,ゆらら亭 押熊店,34.718673,135.765136,12,"[""restaurant"", ""point_of_interest"", ""food"", ""establishment""]",False
218,オクムラ薬局,34.7154965,135.744653,12,"[""pharmacy"", ""health"", ""point_of_interest"", ""store"", ""establishment""]",False
219,学校,34.857353,135.86550799999998,12,"[""school"", ""point_of_interest"", ""establishment""]",False
220,亀岡市月読橋第二球技場,35.051581,135.551685,12,"[""gym"", ""health"", ""point_of_interest"", ""establishment""]",False
